hexbin,value
881f18985bfffff,3
881f189837fffff,42
881f189833fffff,29
881f189827fffff,1
881f189805fffff,8
881f1c2acbfffff,276
881f1c2ac3fffff,216
881f1c2ac1fffff,61
881f1c2abdfffff,1
881f1c2abbfffff,29
881f1c2aa5fffff,15
881f1c2aa3fffff,203
881f1c2aa1fffff,112
881f1c2a8dfffff,2
881f1c2a8bfffff,68
881f1c2a83fffff,3
881f1c2a33fffff,20
881f1c2a1bfffff,1
881f1c29d5fffff,3
881f1c299bfffff,6
881f1c2991fffff,191
881f1c298bfffff,1
881f1c28ddfffff,325
881f1c28bdfffff,3
881f1c28abfffff,6
881f1c28a5fffff,5
881f1c2859fffff,419
881f1c2851fffff,4
881f1c281dfffff,109
881f1c281bfffff,1
881f1c2819fffff,335
881f1c2811fffff,15
881f1c2163fffff,16
881f1c2137fffff,5
881f1c2135fffff,64
881f1c2133fffff,8
881f1c2131fffff,5
881f1c212dfffff,3
881f1c2129fffff,18
881f1c2123fffff,4
881f1c2121fffff,1
881f1c64b3fffff,13
881f189aedfffff,185
881f189aebfffff,164
881f189ae3fffff,187
881f189addfffff,2
881f189acdfffff,2
881f189acbfffff,54
881f189ac9fffff,1
881f189ac7fffff,41
881f189ac5fffff,245
881f189ac3fffff,2
881f189ac1fffff,42
881f189aadfffff,114
881f189aabfffff,22
881f189aa7fffff,136
881f189a87fffff,9
881f189a37fffff,7
881f189a33fffff,64
881f189a03fffff,11
881f1898c1fffff,5
881f189853fffff,342
881f189819fffff,56
881f18936bfffff,15
881f189357fffff,87
881f189355fffff,58
881f189353fffff,17
881f189351fffff,46
881f189339fffff,29
881f189325fffff,15
881f18931bfffff,9
881f189317fffff,1
881f189315fffff,56
881f18930bfffff,1
881f189309fffff,8
881f189307fffff,11
881f189305fffff,21
881f189303fffff,139
881f189301fffff,68
881f189221fffff,92
881f189167fffff,7
881f189165fffff,61
881f189161fffff,12
881f189153fffff,1
881f189149fffff,3
881f189145fffff,1
881f189137fffff,10
881f189135fffff,43
881f189131fffff,4
881f189127fffff,2
881f189125fffff,48
881f189119fffff,24
881f18910bfffff,65
881f189109fffff,389
881f189105fffff,4
881f189101fffff,38
881f1899dbfffff,50
881f1899d9fffff,92
881f1899d7fffff,127
881f1899d5fffff,15
881f1899d3fffff,143
881f1899cbfffff,167
881f1899c7fffff,11
881f1899c5fffff,70
881f1899c3fffff,101
881f1899c1fffff,240
881f1899bdfffff,183
881f1899b5fffff,76
881f1899b3fffff,66
881f1899b1fffff,40
881f1899a5fffff,7
881f189999fffff,167
881f189997fffff,332
881f189995fffff,17
881f189993fffff,132
881f18998bfffff,7
881f1898ebfffff,116
881f1898a9fffff,48
881f1898a5fffff,63
881f18983bfffff,13
881f189839fffff,1
881f189817fffff,115
881f188b5bfffff,45
881f188b59fffff,11
881f188b57fffff,124
881f188b53fffff,125
881f188b51fffff,23
881f18d4d9fffff,141
881f188b19fffff,141
881f188b0bfffff,9
881f188a6dfffff,330
881f188a61fffff,8
881f1c30dbfffff,109
881f1c30d9fffff,206
881f1c3197fffff,164
881f1c30edfffff,178
881f1c30e9fffff,142
881f1c3095fffff,95
881f1c308dfffff,3
881f1c3085fffff,29
881f1c230dfffff,32
881f1c2309fffff,25
881f1c2269fffff,84
881f1c225dfffff,57
881f1c224dfffff,8
881f1c2243fffff,3
881f1c222dfffff,64
881f1c215dfffff,74
881f1c2155fffff,8
881f1c2153fffff,52
881f1c2151fffff,73
881f1c2143fffff,24
881f1c206bfffff,1
881f18c457fffff,1
881f18c453fffff,19
881f18c451fffff,1
881f18c443fffff,50
881f18d4b1fffff,1
881f18896dfffff,2
881f188963fffff,3
881f188925fffff,2
881f188907fffff,16
881f18d49bfffff,125
881f18d497fffff,1
881f18d491fffff,1
881f18c6edfffff,3
881f18c6e9fffff,8
881f18c6e7fffff,55
881f18c6e5fffff,13
881f18c6e1fffff,369
881f18c6c7fffff,35
881f18c6c1fffff,1
881f18c6adfffff,3
881f18c6a9fffff,10
881f18c64bfffff,1
881f18c637fffff,3
881f18c62bfffff,84
881f18c623fffff,1
881f18c601fffff,3
881f188b27fffff,109
881f18d4d3fffff,7
881f18d4d1fffff,83
881f18d4bbfffff,1
881f18c44bfffff,47
881f18c445fffff,33
881f189ae9fffff,2
881f189aa9fffff,47
881f189aa5fffff,275
881f189a89fffff,3
881f189a85fffff,206
881f189a39fffff,44
881f189a19fffff,5
881f1899c9fffff,48
881f1899abfffff,10
881f18999dfffff,10
881f189991fffff,79
881f189987fffff,6
881f189983fffff,23
881f1898e3fffff,226
881f1898e1fffff,15
881f1898a7fffff,26
881f1898a1fffff,27
881f18916dfffff,243
881f189133fffff,140
881f18c45dfffff,150
881f18c45bfffff,1
881f1c6499fffff,44
881f1c3087fffff,47
881f1c3081fffff,329
881f1c2ae5fffff,2
881f1c2ad7fffff,4
881f1c2ad5fffff,27
881f1c2ac7fffff,94
881f1c2ab7fffff,5
881f1c2aadfffff,54
881f1c2aa7fffff,6
881f1c29b9fffff,8
881f1c299dfffff,19
881f1c2999fffff,106
881f1c2995fffff,71
881f1c28d5fffff,27
881f1c28a7fffff,208
881f1c285bfffff,23
881f1c2857fffff,55
881f1c2837fffff,2
881f1c2301fffff,7
881f1c224bfffff,10
881f1c2241fffff,52
881f1c2227fffff,17
881f1c2225fffff,48
881f1c213bfffff,5
881f1c2139fffff,1
881f1c2127fffff,3
881f1c2025fffff,79
881f1c2ae7fffff,61
881f1c2ac9fffff,18
881f1c2aabfffff,53
881f1c2a89fffff,20
881f1c28b5fffff,26
881f1c28a3fffff,194
881f1c2853fffff,35
881f1c32a7fffff,24
881f1c3193fffff,64
881f1c30e1fffff,13
881f1c30cdfffff,13
881f1c3083fffff,125
881f1c303bfffff,86
881f1c301bfffff,87
881f1c3017fffff,10
881f18c627fffff,1
881f18c605fffff,6
881f18933bfffff,19
881f18932bfffff,10
881f188a69fffff,313
881f189157fffff,16
881f189155fffff,29
881f189147fffff,84
881f189143fffff,26
881f18913dfffff,41
881f18911dfffff,4
881f18935bfffff,25
881f189359fffff,1
881f18896bfffff,81
881f188965fffff,5
881f188947fffff,9
881f188945fffff,28
881f18d499fffff,42
881f18c6e3fffff,49
881f18c63dfffff,94
881f18c635fffff,29
881f18c633fffff,1
881f188b63fffff,6
881f18893dfffff,41
881f188923fffff,3
881f18d69bfffff,2
881f18c6ebfffff,9
881f18c6cbfffff,310
881f18c659fffff,2
881f1c226dfffff,4
881f1c2261fffff,17
881f1c2255fffff,4
881f1c2245fffff,8
881f1c2223fffff,1
881f1c2221fffff,232
881f1c2201fffff,13
881f1c21edfffff,6
