hexbin,value
89262cd9237ffff,3.085288611871952
89262cd96b3ffff,5.2715900869605115
892621acbbbffff,3.0871117143530213
89262cd965bffff,3.0864191764005193
89262cd9603ffff,3.0865592549309104
892621acb63ffff,3.0864404572704
89262136197ffff,3.603099006593875
892621ad987ffff,1.5273423351136957
892621acb0bffff,3.086763830197293
892621365bbffff,3.0859797325847347
892621aca03ffff,11.959118567910323
89262136563ffff,3.085308147579461
8926213608fffff,3.085213106783594
89262136037ffff,4.225302792333469
89262cd944bffff,13.453764212515898
8926213650bffff,3.0856317446506467
892621ac953ffff,10.490715711347677
892621364b3ffff,3.086415740133439
8926213645bffff,2.015141725942889
89262cd9343ffff,3.320642361577029
89262136403ffff,3.086067444222049
89262cd9293ffff,3.0860280103782394
89262136ca3ffff,3.9421575714803376
89262cd923bffff,3.085218800065827
89262cd96b7ffff,62.39619277362065
89262cd9607ffff,8.615917211940088
892621acb67ffff,3.0863947458863414
8926213619bffff,4.209183448601218
892621acb0fffff,3.0867181409817914
892621ad933ffff,0.7741853967632939
89262136567ffff,3.0852623587056187
892621aca07ffff,5.406191531462738
89262136093ffff,3.0855366571029195
8926213603bffff,3.5421055730030986
89262cd944fffff,63.55102356062681
8926213650fffff,3.0855859778857506
892621364b7ffff,3.0863701047078376
89262136407ffff,3.086021862579507
89262cd9297ffff,19.604943848174443
89262cd96bbffff,3.0867909036188084
89262cd9663ffff,3.086119868284302
892621acbc3ffff,3.0871327770377825
89262cd960bffff,3.086443396228874
892621acb6bffff,3.0863244402388377
892621acb13ffff,3.0870414719491808
892621ad937ffff,3.078371249466407
892621aca63ffff,3.0867596245430016
892621365c3ffff,3.0860009933187054
892621aca0bffff,2.370416651869634
8926213656bffff,3.085192096076941
89262136097ffff,3.0854910131968802
89262136513ffff,3.0859095330912476
892621ac95bffff,3.0875508990649383
892621364bbffff,3.0862996643554452
89262136463ffff,3.08562785789425
89262cd934bffff,3.084802875729848
8926213640bffff,3.0859512999028036
89262cd929bffff,3.0859121548013984
89262cd9243ffff,3.675966000447331
89262136cabffff,4.279474702178666
89262cd9667ffff,3.086073953840755
892621acbc7ffff,3.0870871390137156
89262cd960fffff,3.0863975039001366
892621acb6fffff,3.0862787467782313
892621acb17ffff,3.086995775875451
892621aca67ffff,3.0867141162799965
892621365c7ffff,3.0859552777169035
8926213656fffff,3.1848972019180195
892621aca0fffff,3.2275873794054712
8926213609bffff,3.0854205159284147
89262136517ffff,3.0858637594632357
89262136467ffff,3.085582271990967
89262cd934fffff,3.1236233439750833
8926213640fffff,3.08590573615342
89262cd9247ffff,3.294730305799322
89262cd96c3ffff,3.0868127013087516
892621acbcbffff,3.087016761834625
89262cd966bffff,3.0860039768273304
89262cd9613ffff,3.0867209899233177
892621acb73ffff,3.0866021517681776
892621acb1bffff,3.086925492635926
892621aca6bffff,3.0866434819798463
892621365cbffff,3.0858849435449116
89262136573ffff,3.0854699540975914
89262136047ffff,2.133488123270395
89262cd945bffff,28.976233173179345
8926213651bffff,3.085793519187811
892621ac963ffff,3.08725193573648
892621364c3ffff,3.086320190350041
8926213646bffff,3.085511680868932
89262cd9353ffff,3.197153718150408
89262136413ffff,3.086229136266968
89262cd92a3ffff,11.442018877505369
89262cd924bffff,4.067132553846474
89262136cb3ffff,3.084640931754936
89262cd96c7ffff,3.0867668601177014
89262cd966fffff,3.085958080289646
