index,geom
2,POINT (34.79382630937881 32.03074590327441)
3,POINT (34.76898406469159 32.04996525065449)
7,POINT (34.83682532723887 32.08344461591772)
8,POINT (34.79245786957608 32.010621901967085)
11,POINT (34.777877770009745 32.00958183448314)
13,POINT (34.78712293865565 32.021835389054075)
22,POINT (34.79226108878051 32.0396396237044)
27,POINT (34.824832846849105 32.10267991822472)
28,POINT (34.78023312947587 32.016485412047516)
36,POINT (34.795861412425865 32.007203635501085)
38,POINT (34.847279687804 32.08443339176246)
39,POINT (34.790737226826465 32.13719230789244)
47,POINT (34.786942144262426 32.02997327845148)
48,POINT (34.78108564876198 32.00979540515049)
53,POINT (34.84437083140224 32.10372227483839)
54,POINT (34.81566134415346 32.046750669349485)
59,POINT (34.79480530142065 32.021288906919125)
60,POINT (34.80668091646472 32.04594004794596)
65,POINT (34.812653606256724 32.03225090586056)
70,POINT (34.782469827264045 32.05440663247346)
72,POINT (34.77212171581969 32.02945014668492)
77,POINT (34.800054930445384 32.0309368774135)
82,POINT (34.863015388411064 32.07217920244894)
83,POINT (34.84098698184532 32.090371006238634)
85,POINT (34.84664796131821 32.077890502607346)
86,POINT (34.794935708487756 32.00584458134164)
90,POINT (34.80452760459871 32.043846491708095)
91,POINT (34.78956062154702 32.022986382617844)
92,POINT (34.79805113821285 32.0443454473372)
93,POINT (34.7970863923538 32.13228565439033)
100,POINT (34.782057272569716 32.03862788275894)
103,POINT (34.858896875292 32.067847051278754)
111,POINT (34.86026977865646 32.07775043699301)
121,POINT (34.77391892876279 32.0332321923822)
124,POINT (34.78062074493172 32.047014765799545)
127,POINT (34.79842005841718 32.00990230665436)
129,POINT (34.769814156358606 32.00058974299223)
131,POINT (34.78973792609361 32.04440940902734)
132,POINT (34.77848374688911 32.038343320716535)
136,POINT (34.78741984472661 32.02832491052959)
141,POINT (34.8540703102182 32.10322047735965)
142,POINT (34.854859510551364 32.1059634385546)
144,POINT (34.78596268634164 32.03877564695565)
145,POINT (34.79024147660727 32.00887576761252)
146,POINT (34.810344794176515 32.09453465614401)
149,POINT (34.81887586405539 32.008185619168025)
156,POINT (34.81094143977157 32.01694688269334)
162,POINT (34.81257558766444 32.05643107436244)
163,POINT (34.76500360525014 32.01719790330988)
171,POINT (34.77010244176172 32.02159978915569)
172,POINT (34.79172311094694 32.01326034471259)
174,POINT (34.81153068143247 32.0207566595648)
175,POINT (34.79663549135663 32.04786881691243)
176,POINT (34.79546607427568 32.02386865365485)
180,POINT (34.75730136921746 32.04720922459502)
181,POINT (34.78118872132298 32.015040946073576)
182,POINT (34.79104014793276 32.01932296944908)
185,POINT (34.779226080012464 32.00244805589618)
191,POINT (34.808586398200454 32.03393005035551)
192,POINT (34.80147452109092 32.05073082027164)
193,POINT (34.803999329432365 32.0220168242989)
194,POINT (34.778852578808845 32.03820247037071)
197,POINT (34.80365463850399 32.02072910795343)
204,POINT (34.797789986267034 32.02867166256489)
205,POINT (34.7953661617835 32.0569859298673)
207,POINT (34.78170035619655 32.01483284452036)
209,POINT (34.80025193175588 32.007186569970884)
214,POINT (34.854431131171275 32.08194542470346)
216,POINT (34.84097436597975 32.1087406752698)
218,POINT (34.786457829651894 32.009365276199745)
219,POINT (34.798719449160096 32.111579552886774)
224,POINT (34.77793919063406 32.028807829343044)
226,POINT (34.79287050841486 32.04771641095193)
228,POINT (34.76453204574045 32.03161269181584)
229,POINT (34.81644497393894 32.035288050304715)
230,POINT (34.77199993727353 32.03514546083565)
236,POINT (34.797363293559414 32.03131587742699)
238,POINT (34.80000495400215 32.03453343434077)
240,POINT (34.79465673654092 32.045800091269214)
246,POINT (34.80276162425985 32.00640697365675)
250,POINT (34.78319877832301 32.053212841691895)
255,POINT (34.80196209356038 32.12237913667614)
260,POINT (34.77240745123086 32.01581309083053)
263,POINT (34.79083169284639 32.00627910721087)
267,POINT (34.86169410210199 32.08836162240927)
268,POINT (34.80135474220638 32.04891069162024)
272,POINT (34.78926436337078 32.03522242428817)
275,POINT (34.80086595818842 32.02292732827326)
276,POINT (34.79067013632415 32.05065315915417)
279,POINT (34.792878794343466 32.035903027558454)
281,POINT (34.86142158064341 32.09425400589612)
286,POINT (34.85654583138044 32.0963832643952)
289,POINT (34.81451898348458 32.02219450596683)
290,POINT (34.761183218354994 32.01831147601561)
291,POINT (34.86094903942674 32.09615970138647)
294,POINT (34.85744251531519 32.08206788949562)
297,POINT (34.80492104175389 32.02636044708552)
300,POINT (34.834469493658716 32.08357256338174)
307,POINT (34.79404931222548 32.017492139366084)
309,POINT (34.7944217002421 32.04947387994441)
311,POINT (34.78830122459736 32.032450548843336)
313,POINT (34.764870308033785 32.02284190449583)
320,POINT (34.80136381821753 32.04869260471466)
322,POINT (34.791447445621635 32.02863190345621)
324,POINT (34.79641105177585 32.13629964129933)
325,POINT (34.85502858962028 32.107377860438184)
333,POINT (34.810086304489076 31.992949781616367)
334,POINT (34.81214569405055 32.00621667904384)
336,POINT (34.84648261797561 32.081771014196825)
339,POINT (34.849635100670596 32.0955589052699)
341,POINT (34.80028948803346 32.04279413775965)
343,POINT (34.79878455792049 32.01535989271342)
346,POINT (34.84581795980039 32.10396298382724)
347,POINT (34.79174447977774 31.995895766894723)
351,POINT (34.80492428423142 32.034553120272)
353,POINT (34.857932613631114 32.07148846896719)
359,POINT (34.78130632638351 32.05083174873202)
361,POINT (34.85904344084797 32.075348045004354)
362,POINT (34.77512708129549 32.02331214343294)
363,POINT (34.770442088122344 32.02043392903017)
365,POINT (34.86593685512272 32.07184315469891)
366,POINT (34.81518730640472 32.044941951070584)
373,POINT (34.787169993129616 32.037553944138104)
380,POINT (34.79491993288726 32.03271769200398)
382,POINT (34.859177351229 32.08654848504856)
385,POINT (34.792836759696435 32.020268767370204)
386,POINT (34.78854900723505 32.13610746839574)
387,POINT (34.78921291145029 32.02993303390545)
392,POINT (34.85087785802207 32.0824510714604)
395,POINT (34.8570290500755 32.06522420437038)
398,POINT (34.79186178191027 32.04471174127551)
401,POINT (34.78334170249351 32.03198055584306)
402,POINT (34.80229334491116 32.02453028673284)
404,POINT (34.78202871910656 32.024858455670504)
408,POINT (34.787036927804984 32.044583605368544)
414,POINT (34.80929950446488 32.02076405479073)
415,POINT (34.84038936631496 32.09188245486704)
417,POINT (34.7901827404708 32.02863678983021)
419,POINT (34.797343707884444 32.02137370742701)
424,POINT (34.779333802947875 32.03462191038489)
429,POINT (34.7909986286334 32.02400738130137)
430,POINT (34.788728585672516 32.04671945283329)
431,POINT (34.827111491668646 32.09262437268696)
434,POINT (34.790261720022706 32.049375553482705)
435,POINT (34.808241535614975 32.01286703021552)
439,POINT (34.80270703645485 32.008288970263806)
444,POINT (34.78339279560772 32.02873098939605)
446,POINT (34.76789501167391 32.01942566629791)
449,POINT (34.78969178888693 32.03432032712047)
453,POINT (34.78142672352435 32.05058511352593)
464,POINT (34.76612682281631 32.031891282905235)
465,POINT (34.7914281599895 32.04485460082741)
470,POINT (34.79283787926874 32.024511132165145)
475,POINT (34.78825943139444 32.00205530372144)
476,POINT (34.76268598448561 32.045582092943924)
478,POINT (34.78826432831678 32.03188848477642)
479,POINT (34.787785114628676 32.032288890834295)
482,POINT (34.78013760721548 32.02386437050145)
490,POINT (34.795300385073446 32.002820345808956)
492,POINT (34.7607089136352 32.0164361218867)
493,POINT (34.809447548080776 32.04829679044505)
494,POINT (34.80636003889858 32.01916124330621)
501,POINT (34.7974184792944 32.13295730214906)
502,POINT (34.79387888577949 32.01877221597272)
508,POINT (34.77999581241564 31.992545511616832)
509,POINT (34.81093408120724 32.012580606422034)
510,POINT (34.807308821062975 32.030394563007654)
514,POINT (34.84762075714474 32.09267064015856)
516,POINT (34.86084811862357 32.09795248554615)
518,POINT (34.787373497948415 32.0395982533223)
527,POINT (34.85328682434697 32.096012304542036)
528,POINT (34.849066812737 32.10587596700293)
537,POINT (34.784240320616725 32.04091162513965)
542,POINT (34.808566799988846 32.059593058502486)
544,POINT (34.84977918470135 32.07184405117971)
545,POINT (34.794646586411766 32.0296295315416)
554,POINT (34.81845839933089 32.12971906489261)
555,POINT (34.788589144271256 31.998892795307523)
562,POINT (34.78560458971815 32.02668580814271)
564,POINT (34.817915841244265 32.02040723454975)
571,POINT (34.778358724791346 32.050795911166276)
580,POINT (34.79308133435754 32.01480909808174)
581,POINT (34.860684630077195 32.09370748712362)
582,POINT (34.830025971571594 32.08039834146502)
587,POINT (34.8611271445726 32.07860600751259)
593,POINT (34.79328449233232 32.021174016487585)
594,POINT (34.80070337032894 32.115722852792835)
600,POINT (34.81586031404799 32.12777734781969)
602,POINT (34.78462950687062 32.103913616347725)
603,POINT (34.766664860765076 32.0315176639217)
607,POINT (34.85475312521811 32.08699545764554)
609,POINT (34.79321034350758 32.029262873326786)
610,POINT (34.81021961251352 32.04125026791344)
611,POINT (34.862634936583234 32.080503458722454)
616,POINT (34.79378669532838 32.04420451204409)
617,POINT (34.79045068183552 32.040117895745375)
620,POINT (34.846628615649 32.072867248622046)
621,POINT (34.78395780711781 32.00962732310656)
622,POINT (34.7948605852947 32.02349643783091)
626,POINT (34.84826626073101 32.07466401707174)
627,POINT (34.791983664627004 32.03913713488732)
629,POINT (34.79539247244782 32.0031470977497)
635,POINT (34.80808421687598 32.11691401898121)
641,POINT (34.79610618254289 32.04361469016869)
644,POINT (34.795307214091785 32.04310760169512)
645,POINT (34.77582381318551 32.03142785236799)
647,POINT (34.812348420348016 32.06625406446767)
648,POINT (34.787233505605414 32.041554675303466)
656,POINT (34.82531339896565 32.07612777079938)
658,POINT (34.77654678847933 32.029866642534245)
663,POINT (34.86226537736613 32.08475812210238)
665,POINT (34.81875841120722 32.11262237928371)
673,POINT (34.79978594832609 32.0364508097877)
676,POINT (34.80635238422998 32.09933662584119)
695,POINT (34.80193400073541 32.02432164375901)
699,POINT (34.791591447188836 32.00949180373642)
702,POINT (34.82606911763019 32.028457348047404)
704,POINT (34.80292999797962 32.05347374429365)
706,POINT (34.863461706686174 32.08661102828683)
707,POINT (34.77876164220178 32.01434770233683)
713,POINT (34.807837582660795 32.02054933185451)
714,POINT (34.79538160185227 32.02766489501374)
720,POINT (34.76956514898353 32.042000341663005)
724,POINT (34.792629898646915 32.01858578242166)
725,POINT (34.80786293100077 32.033584997054774)
727,POINT (34.81280180384097 32.02768051423879)
729,POINT (34.85229378375682 32.09720303455548)
733,POINT (34.843268545268025 32.079164558964024)
734,POINT (34.799634805207454 32.0317846190546)
738,POINT (34.77403612159377 32.02768941753565)
739,POINT (34.76022025266083 32.014107801484826)
745,POINT (34.791418091949566 32.05011629199852)
747,POINT (34.793144970944915 32.01548781535492)
748,POINT (34.80150947932111 32.001862806424974)
749,POINT (34.81305527564527 32.034284787838025)
751,POINT (34.80439314622293 32.020251122196825)
752,POINT (34.77417955750816 32.057261805915346)
760,POINT (34.77936583314207 32.047222860898486)
761,POINT (34.814136270683996 32.0857403720058)
764,POINT (34.79777318730538 32.02630934875738)
765,POINT (34.790382343697715 32.005042778357485)
771,POINT (34.79533463127515 32.020007281682005)
773,POINT (34.858454974326875 32.09379389176217)
777,POINT (34.772833353208256 32.037920325778565)
779,POINT (34.80529076866916 32.031331154545555)
781,POINT (34.801106768609756 31.996352528098647)
