index,geom
5,POINT (34.84470623271812 32.10092103299385)
6,POINT (34.811557357755355 32.09737073856443)
14,POINT (34.80838263056878 32.093905176264165)
18,POINT (34.80654021557769 32.09439489564555)
19,POINT (34.80850272978885 32.0885176162206)
20,POINT (34.790022427306255 32.05350303251566)
21,POINT (34.80357633841799 32.090644845208885)
24,POINT (34.82570705897435 32.063309821492645)
26,POINT (34.81676605073738 32.099638730227134)
30,POINT (34.824365864361184 32.06642320379786)
31,POINT (34.823435586301905 32.08654235021461)
32,POINT (34.78980784290173 32.099310575750145)
33,POINT (34.81241024039758 32.01605116266307)
41,POINT (34.81409712665561 32.09038149756183)
43,POINT (34.84439619964456 32.100813275607365)
55,POINT (34.80863006539687 32.108314510956305)
57,POINT (34.79999253461007 32.06665382504047)
61,POINT (34.79938729721144 32.1081079841941)
63,POINT (34.811573335807594 32.09043151777655)
64,POINT (34.80600794615399 32.09984093410506)
66,POINT (34.825025793224476 32.0939798634272)
68,POINT (34.858784532632455 32.0974036752013)
71,POINT (34.827281055430674 32.110423836221315)
74,POINT (34.80602136801672 32.111559949925535)
75,POINT (34.80173598795139 32.080047201053965)
84,POINT (34.793884022511556 32.02599347378717)
87,POINT (34.809381289089714 32.129550445124295)
88,POINT (34.80459155238426 32.08481627245425)
89,POINT (34.79390655392189 32.02655562987863)
95,POINT (34.849450601123365 32.08250017997333)
96,POINT (34.80849584981402 32.08369108007056)
97,POINT (34.80368888338611 32.106974636070944)
102,POINT (34.81861445523927 32.09023657691262)
104,POINT (34.78094650774759 32.091871979344134)
105,POINT (34.80112653984471 32.08473215753531)
108,POINT (34.80686547511914 32.10223974156561)
109,POINT (34.81404919695474 32.096546241875934)
112,POINT (34.80213937626094 32.082365748068284)
114,POINT (34.801027918967634 32.07950394187131)
115,POINT (34.7847982955406 32.106737327226746)
116,POINT (34.82630582966225 32.08037866710216)
117,POINT (34.797034261439165 32.029299660632354)
119,POINT (34.7927817238453 32.09465743756557)
120,POINT (34.831201016244556 32.08938825312608)
125,POINT (34.81801148600506 32.09566764362839)
126,POINT (34.79847488169363 32.097393179659775)
134,POINT (34.834222768131404 32.10259910717881)
137,POINT (34.80720322808331 32.104418496257686)
138,POINT (34.80966605805666 32.0979060628733)
139,POINT (34.85676245733241 32.09101349370145)
140,POINT (34.793819782115875 32.13265816071981)
147,POINT (34.79386920652217 32.006159374585884)
151,POINT (34.7887712432458 32.00726686650622)
155,POINT (34.811328957291245 32.06895144739103)
160,POINT (34.81686486949183 32.09316503649517)
165,POINT (34.77632650419424 32.048186310287655)
166,POINT (34.79460594679606 32.027489465724145)
173,POINT (34.78591211043049 32.05336866548916)
177,POINT (34.844186779689835 32.08709707488956)
184,POINT (34.80875376971232 32.12776875086308)
186,POINT (34.79822401066329 32.066953428275006)
187,POINT (34.84302940999203 32.056612833474524)
189,POINT (34.84654601648833 32.09715890000491)
195,POINT (34.79894677021094 32.12359209527518)
196,POINT (34.81508660731948 32.05993948428577)
198,POINT (34.80222132120602 32.125049186600435)
200,POINT (34.81633682824817 32.11126551452047)
201,POINT (34.78670866921929 32.019871604868136)
202,POINT (34.805792726053824 32.08711332562666)
203,POINT (34.80176329122902 32.0970410460508)
206,POINT (34.815445609620845 32.10133877418916)
210,POINT (34.8024927999977 32.12865809525178)
217,POINT (34.81126894272908 32.104507678745165)
220,POINT (34.78827025758124 32.0311033621766)
223,POINT (34.841419768084435 32.09544841580685)
237,POINT (34.79210189471605 32.02564288283292)
241,POINT (34.788732846550346 32.09476221569479)
243,POINT (34.799006428133346 32.09882719626944)
245,POINT (34.82801040864957 32.07343433120533)
247,POINT (34.81092445426016 32.104753874367574)
248,POINT (34.800232191090245 32.03744702563296)
251,POINT (34.794899011138554 32.085623022230635)
252,POINT (34.81717710179684 32.11507850341473)
254,POINT (34.78736104974727 32.092078914064146)
258,POINT (34.8241484510234 32.097998120607315)
265,POINT (34.79610716553274 32.10418517907403)
271,POINT (34.80929913562765 32.054178361544636)
274,POINT (34.81104657501162 32.09305904477624)
278,POINT (34.80754634779749 32.095590475085466)
284,POINT (34.85723056612145 32.07562384813929)
287,POINT (34.80356746686217 32.118980710760695)
292,POINT (34.839847765345816 32.09485337194714)
293,POINT (34.792783280625954 32.033331189986754)
295,POINT (34.80635619358058 32.10686424208912)
298,POINT (34.804071066987085 32.08340125256818)
301,POINT (34.79264833828176 32.07585976982482)
304,POINT (34.850795839725166 32.08083365715504)
306,POINT (34.78878800710526 32.13557194388759)
310,POINT (34.81419651790645 32.07056031329734)
314,POINT (34.806339055819514 32.097729606872754)
315,POINT (34.79566083997985 32.08365045752086)
321,POINT (34.803027775558824 32.09884775063359)
323,POINT (34.82948126537896 32.091513810546104)
326,POINT (34.78287430452156 32.020510150267036)
329,POINT (34.815482304531024 32.101860155747225)
330,POINT (34.842454241624544 32.091265291274304)
331,POINT (34.799899630919796 32.09428802935379)
338,POINT (34.855511796525185 32.10146485133995)
342,POINT (34.80711632386513 32.094709901603444)
345,POINT (34.82072842556143 32.106332080792264)
348,POINT (34.82952572662408 32.09276209891439)
349,POINT (34.79859334454074 32.101878745369895)
352,POINT (34.7992672872979 32.11612871277357)
356,POINT (34.80525023990552 32.028732577838966)
357,POINT (34.80865255764373 32.09320462484707)
364,POINT (34.800354790309065 32.12897256502156)
368,POINT (34.84949127270804 32.08736298009833)
370,POINT (34.82834199172092 32.0817792742621)
374,POINT (34.80064890930684 32.090110129349966)
375,POINT (34.80589974897283 32.0989478259602)
376,POINT (34.83579271618848 32.074916315389245)
377,POINT (34.835577725978986 32.06946452196598)
384,POINT (34.813086871908354 32.037425451947676)
396,POINT (34.858600523709704 32.08168630202141)
399,POINT (34.80251331766872 32.02901576499362)
403,POINT (34.81093570072179 32.104669327994856)
407,POINT (34.82108433733822 32.08832217795267)
409,POINT (34.81823996488999 32.090269648279325)
416,POINT (34.82623113378558 32.07984859520014)
421,POINT (34.78918894651661 32.09973487623546)
426,POINT (34.854577069921 32.09618466036111)
433,POINT (34.81567427392046 32.075034661693216)
436,POINT (34.82073214900916 32.111537130034456)
437,POINT (34.80966735214018 32.114921057186834)
438,POINT (34.807449727272335 32.09257556793738)
451,POINT (34.80759927326066 32.080281111745954)
457,POINT (34.82018596599337 32.09891155883661)
458,POINT (34.79450244209304 32.12989978061151)
459,POINT (34.86150039697725 32.06610478718607)
462,POINT (34.786685900989106 32.01037663175828)
463,POINT (34.80742314466099 32.1248209229348)
466,POINT (34.857080359647846 32.080131957922525)
469,POINT (34.803028868350715 32.07043652841269)
473,POINT (34.79883888178864 32.11581252136078)
474,POINT (34.76759728997871 32.03863703662054)
477,POINT (34.78696857947089 32.1321120760774)
480,POINT (34.763078187493164 32.0409566075802)
485,POINT (34.814445668974045 32.08542283854937)
488,POINT (34.811450317937606 32.13012751912397)
489,POINT (34.78678064400836 32.097341708301)
491,POINT (34.82087388822072 32.08559021721101)
496,POINT (34.79387156420515 32.09568791968936)
497,POINT (34.806998354755514 32.096442203678215)
500,POINT (34.81180320958489 32.09475867664594)
503,POINT (34.78916545661749 32.07192021804121)
504,POINT (34.86370737737355 32.08602519611975)
506,POINT (34.81581462877841 32.11086408556924)
512,POINT (34.79599723595581 32.07777699310334)
519,POINT (34.8285278122261 32.06334102818191)
520,POINT (34.79325390407713 32.10180686232599)
524,POINT (34.7743078606879 32.03045152407218)
526,POINT (34.80350933087329 32.131266235668114)
532,POINT (34.85779067799514 32.08028474037809)
533,POINT (34.81247802647036 32.11197980013651)
536,POINT (34.860163465166465 32.10112932609491)
538,POINT (34.78196653866637 32.04474633916213)
540,POINT (34.772781492085315 32.046664657006914)
547,POINT (34.820654114003005 32.12783224223995)
551,POINT (34.85751162000955 32.10009365537133)
553,POINT (34.784618339748555 32.037735657307216)
558,POINT (34.81972976845275 32.04268374848124)
565,POINT (34.818837130577094 32.10409667616464)
566,POINT (34.8137507805952 32.09365573723969)
568,POINT (34.83303933584003 32.11249426628416)
569,POINT (34.81286027256434 32.06715832093089)
572,POINT (34.82567834642312 32.089658558159506)
577,POINT (34.824214194903846 32.10900664092148)
578,POINT (34.79098787506727 32.05160554772102)
585,POINT (34.81412259981907 32.13239525326453)
589,POINT (34.81701984405624 32.092554277683774)
590,POINT (34.79673080278308 32.12990983575391)
591,POINT (34.81381967812108 32.12632743488875)
597,POINT (34.82264403395469 32.08072408761558)
604,POINT (34.81674334445302 32.09995408346215)
606,POINT (34.8321456613901 32.10405374509059)
608,POINT (34.821937137504584 32.0799734054394)
612,POINT (34.799543477686896 32.11386027920461)
613,POINT (34.857091563023936 32.09346403974794)
615,POINT (34.82910169625111 32.09267766365106)
619,POINT (34.81520809497348 32.12173175883836)
628,POINT (34.81973530599838 32.07932533872575)
630,POINT (34.789732106832524 32.134573056458464)
632,POINT (34.797089537549 32.0224558981925)
633,POINT (34.813858241868815 32.133479724341576)
637,POINT (34.77921119810761 32.10336754229017)
640,POINT (34.82567997592328 32.11499237986461)
643,POINT (34.795076836509836 32.03904652702914)
646,POINT (34.818393373174544 32.095024706184915)
650,POINT (34.822010325531515 32.1154523544794)
651,POINT (34.820635918235034 32.08662991624318)
653,POINT (34.812592274360654 32.085123027600254)
